ISTASYON_ID;ISTASYON_ADI;ISTASYON_SIRASI;MESAFE
1;Fahrettin Altay;0;0
2;Üçkuyular;1;703
3;AASSM;2;556
4;Güzelyalı;3;720
5;Göztepe;4;663
6;Sadıkbey;5;514
7;Köprü;6;376
8;Karantina;7;652
9;Karataş;8;1221
10;Konak İskele;9;1208
11;Gazi Bulvarı;10;1218
12;Kültürpark;11;714
13; Hocazade Cami;12;484
14;ASS;13;425
15;Alsancak Gar;14;374
16;Alsancak Stadyumu;15;477
17; Üniversite;16;798
18;Halkapınar;17;1093
