ISTASYON_ID;ISTASYON_ADI;ISTASYON_SIRASI;MESAFE
1;ALAYBEY;0;0
2;KARŞIYAKA İSKELE;1;990
3;NİKAH SARAYI;2;907
4;YUNUSLAR;3;650
5;BOSTANLI İSKELE SOL;4;575
6;ÇARŞI;5;594
7;VİLAYET EVİ;6;476
8;SELÇUK YAŞAR;7;514
9;ATAKENT;8;449
10;BİLİM MÜZESİ;9;834
11;MKA SPOR SALONU;10;661
12;MAVİŞEHİR;11;603
13;ÇEVRE YOLU;12;499
14;ATAŞEHİR;13;701
